content,label
[IBK기업은행] 고객님께서는 정부에서 한시적으로 지원하는 정책자금 특례보증 승인대상자로 선정되셨습니다. 아래 내용을 확인하시어 대출 실행일 기간 안에 신청하시기 바랍니다.,1
"""구글 기프트카드 15만 원 짜리 2개 사서 번호 보내줘"", ""공부하는데 필요해"", ""독서실이라 전화는 안돼""",0
[국제발신][기획재정부에서 알립니다.] 귀하는 4차 재난지원금 지원대상자 입니다. 절차 확인 바랍니다.,1
"고객님께서는 정부에서 지원하는 특례보증기금을 아직 신청하지 않은 것으로 확인됩니다. 지원된 기간은 2021. 06. 07(월) 16시 전 까지 신청가능하시며, 아래 보증내용과 한도를 확인하신 후 빠른 시일 내에 신청해주시기 바랍니다.",1
"엄마 바빠? 나 폰 액정 깨져서 수리 맡겼고 지금 컴퓨터로 문자 중이야. 나 폰 인증이 안 되어서 엄마 명의로 온라인 문화상품권 구매해야 하니까 엄마 주민등록증 전체가 다 잘 나오게 사진 찍어서 보내주고, 결제하게 엄마 신용카드 번호랑 비번 알려줘.",0
한진택배 고객님. 도로명 주소가 정확하지 않아 반송처리 되었습니다. 확인해주세요. Blu.vn/duQgf(원격 조종 애플리케이션 설치 주소),2
[국제발신]김은주님 해외인증 95*** USD799$ 결제완료 본인 아닌경우 한국 소비자원 문의:031-374-7405,1
엄마 나 폰 고장나서 as 맡겼어 꼭 좀 부탁할거있어 문자확인하는대로 답장줄래?,0
엄마 나 지금 급히 송금할데가 잇는데 폰고장이라 은행갈 상황이 아니라서 엄마 대신 먼저 보내줘,0
"[Web발신]스마일pay 모바일 서비스 이용 요청일시:2019/05/17 요청사이트:헬로마켓 요청금액:354,000",2
[Web발신]국내 코로나19급속도 확산 감염자 및 접촉자 신분정보 확인하기,1
[Web발신]코로나바이러스 전염병 환자 휴게소에서 수많은 사람과 접촉 접촉 휴게소 확인,1
[Web발신] 코로나 19 백신!! 우한폐렴 수혜주 무료공유방,1
엄마 내꺼 폰 고장나서 수리맡겼어..액정깨졋어..지금 컴퓨터앱 문자중... 메시지보면 이번호로 회신 좀...,0
급히 결제 할 거 있어 그러는데 엄마 대신 먼저 해주시면 안대? 인증스 오류떔에 이체안되는 상황이라 그래 엄마~ 저녘으로 돌려줄게 엄마~,0
"[Web발신](주)삼성페이 승인번호 697488 568,000원이 결제완료 되었습니다. 070-8095-3861 (주)삼성페이",2
아침에 출근하다가 핸드폰 액정이 깨져서 대리점에 맡겼더니 급한 연락할 때만 쓰라고 빌려줬어. 문자랑 카톡만 돼,0
"[Web발신][대상자선정 알림] 3차 재난지원금 지원대상으로 선정되었습니다. 바이러스 예방 및 확산방지를 위해 전화문의 및 온라인으로 진행됩니다. 지급절차는 온라인 상담 도와드립니다.(2021.1.4~2021.1.6) 기한내 문의가 없을 경우, 최종 지원대상에서 탈락되니 유의바랍니다. 3차 재난지원금 관련문의 카카오톡 번호로 추가하셔서 문의바랍니다. 010-5683-7352(운영시간: 9:00~17:00)무료거부 0808705307",1
엄마 뭐해 바빠? 나 급하게 돈 보낼데가 있는데 인증서 오류가 나서 안돼ㅠ 나 80만원만 보내줄 수 있어?,0
[Web발신][CJ통운]배송불가(도로명불일치)주소지확인.>>https://goo.gl./eKsb1S,2
[Web발신][CJ대한통운]주문하신물품.미배달 도로명불일치.수정하세요 https://han.gl/zt6Uz,2
[Web발신]택배 주소지가 모호하여 배송이 어렵습니다. 아래URL 링크를 클릭하여 주소를 변경해주세요.http://www.box.comXX.com,2
[Web발신][CJ대한통운] 등기소포 배송불가(주소불명)주소지확인 https://goo.gl/gBfkXn,2
[대한통운 택배] 미수령택배가 있습니다 확인해주시길바랍니다http://kjtf.co.kr/se/wk/,2
[대한통운 택배] 미수령택배가 있습니다 확인해주시길바랍니다 http://new2life.com/upload/ck/,2
[대한통운 택배] 미수령택배가 있습니다 확인해주시길바랍니다 http://www.cooshop.co.kr/ck/,2
[생활불편신고]귀하에게 미원이 접수되어 통보드립니다. 민원확인http://bit.ly/2Hh9vp9,1
[도로공사] OOO님차량 불법단속대상 적발! 확인 후 빠른처리 요망http365.com,1
[OO택배] 추석배송 물량증가로 배송이 지연되고 있습니다. 배송일정 확인하세요http://nene.you/Nkln8,2
[Web발신]국내 우한폐렴 급속도확산 감염자 및 접촉자 신분정보 확인하기 news.naver.com,1
[Web발신] 코로나 전염병 환자 휴게소에서 수많은 사람과 접촉http://dkslk/pDX접촉 휴게소확인,1
[Web발신] 코로나 전염병 환자 휴게소에서 수많은 사람과 접촉 http://dkslk/pDX 접촉 휴게소확인,1
